STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE
Trae Young,Atlanta,Hawks,Keaton Wallace,38.84907407407408,10.344444444444445,5.977777777777778,3.5222222222222226,19.004629629629633,6,False
Paul George,Philadelphia,76ers,Chuma Okeke,38.5,8.799999999999999,2.1999999999999997,7.0,20.5,5,False
Trey Murphy III,New Orleans,Pelicans,Keion Brooks Jr.,35.504747474747475,9.972222222222221,0.8055555555555556,3.4166666666666665,21.31030303030303,12,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Dillon Jones,35.15481116584565,7.959770114942529,1.632183908045977,4.333333333333334,21.22952380952381,6,False
Joel Embiid,Philadelphia,76ers,Chuma Okeke,34.91666666666667,7.166666666666667,1.75,5.5,20.5,6,False
Josh Hart,New York,Knicks,Precious Achiuwa,32.239483933787724,8.678481012658228,0.9164556962025318,5.625316455696202,17.019230769230766,5,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Kenrich Williams,32.180234031132585,9.776086956521738,1.6,4.147826086956522,16.656320987654325,5,False
Joel Embiid,Philadelphia,76ers,Lonnie Walker IV,31.111303258145362,11.761904761904763,2.380952380952381,1.9047619047619047,15.063684210526317,21,False
Jalen Williams,Oklahoma City,Thunder,Branden Carlson,30.826584415584417,8.96969696969697,1.0075757575757576,3.2954545454545454,17.553857142857144,6,False
CJ McCollum,New Orleans,Pelicans,Keion Brooks Jr.,30.520000000000003,11.142857142857142,0.6428571428571428,3.8571428571428568,14.87714285714286,7,False
OG Anunoby,New York,Knicks,Precious Achiuwa,30.499012658227855,7.827848101265823,1.129113924050633,3.924050632911392,17.618000000000006,5,False
Tyrese Haliburton,Indiana,Pacers,Johnny Furphy,30.19221178050008,2.9485148514851485,0.8514851485148515,2.8059405940594058,23.586271186440676,5,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Jaylin Williams,29.93064218455744,7.491666666666665,5.3694444444444445,5.541666666666666,11.52786440677966,5,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Aaron Wiggins,29.671065292096223,14.473333333333333,2.6,1.67,10.927731958762891,6,False
LaMelo Ball,Charlotte,Hornets,Vasilije Micic,29.640347222222225,9.027777777777779,4.083333333333333,1.9027777777777777,14.626458333333334,16,False
Nikola Vucevic,Chicago,Bulls,Zach Collins,29.46316017316018,8.36904761904762,1.5595238095238095,6.416666666666667,13.117922077922081,7,False
Michael Porter Jr.,Denver,Nuggets,Jalen Pickett,29.150413943355122,6.868627450980393,3.7862745098039214,3.13921568627451,15.356296296296296,6,False
Herbert Jones,New Orleans,Pelicans,Keion Brooks Jr.,28.84072398190045,7.588235294117647,0.7058823529411765,2.823529411764706,17.72307692307692,17,False
Dejounte Murray,New Orleans,Pelicans,Keion Brooks Jr.,28.84072398190045,7.588235294117647,0.7058823529411765,2.823529411764706,17.72307692307692,17,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Branden Carlson,28.810190476190478,9.066666666666666,1.0222222222222221,3.4444444444444446,15.276857142857143,5,False
Brandon Ingram,New Orleans,Pelicans,Keion Brooks Jr.,28.22307692307692,7.166666666666667,0.6666666666666666,2.6666666666666665,17.72307692307692,18,False
Fred VanVleet,Houston,Rockets,Reed Sheppard,27.090402116402117,8.75,1.4761904761904763,0.8809523809523809,15.983259259259261,6,False
Tyrese Maxey,Philadelphia,76ers,Jared McCain,26.4532298136646,14.297101449275363,2.217391304347826,-0.18840579710144922,10.12714285714286,6,False
Brandon Ingram,New Orleans,Pelicans,Karlo Matkovic,26.393607932875668,6.615942028985507,0.9782608695652174,3.8478260869565215,14.95157894736842,46,False
CJ McCollum,New Orleans,Pelicans,Brandon Boston Jr.,26.095488060326772,6.316883116883117,3.464935064935065,2.6233766233766236,13.69029325513197,11,False
Damian Lillard,Milwaukee,Bucks,Ryan Rollins,25.975689086847552,6.908466819221968,2.0373760488176966,1.7925247902364605,15.237321428571429,23,False
Miles Bridges,Charlotte,Hornets,LaMelo Ball,25.690060908084156,16.112956810631225,0.6677740863787376,2.2724252491694354,6.636904761904759,7,False
Keegan Murray,Sacramento,Kings,Trey Lyles,25.542329670329682,6.128571428571429,0.7428571428571429,3.1142857142857148,15.556615384615395,5,False
Evan Mobley,Cleveland,Cavaliers,Emoni Bates,25.536944444444444,4.333333333333333,0.06666666666666671,1.1444444444444444,19.9925,5,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Isaiah Joe,25.491307669810627,8.27491408934708,3.324742268041237,2.1271477663230236,11.764503546099288,6,False
LeBron James,Los Angeles,Lakers,Jordan Goodwin,25.289633333333338,5.641666666666667,1.6083333333333334,2.908333333333333,15.131300000000005,8,False
Jimmy Butler,Golden State,Warriors,Trayce Jackson-Davis,25.12295638861304,5.430622009569378,1.7779106858054226,4.580940988835725,13.333482704402517,57,False
Brandon Miller,Charlotte,Hornets,Nick Smith Jr.,24.83635516233111,7.250574712643678,1.8268199233716478,1.2000000000000002,14.558960526315785,45,False
Dyson Daniels,Atlanta,Hawks,Garrison Mathews,24.662758807588077,10.231707317073171,1.9780487804878049,1.048780487804878,11.404222222222224,5,False
Paolo Banchero,Orlando,Magic,ga Bitadze,24.65795156534287,6.066425120772946,1.434782608695652,4.0978260869565215,13.058917748917752,36,False
Jaren Jackson Jr.,Memphis,Grizzlies,Marvin Bagley III,24.608981481481482,5.092592592592593,0.46296296296296297,2.4259259259259256,16.6275,6,False
Tyrese Maxey,Philadelphia,76ers,Lonnie Walker IV,24.44916666666667,9.216666666666667,2.033333333333333,1.7416666666666667,11.457500000000003,8,False
Donovan Mitchell,Cleveland,Cavaliers,Emoni Bates,24.40855392156863,4.137254901960785,0.4313725490196078,0.9411764705882353,18.89875,6,False
Andrew Wiggins,Miami,Heat,Terry Rozier,24.23124384236453,8.541871921182267,1.958128078817734,2.4837438423645324,11.247499999999999,58,False
Dejounte Murray,New Orleans,Pelicans,Brandon Ingram,24.085785714285713,10.057142857142857,4.095238095238096,3.0952380952380953,6.838166666666666,15,False
Domantas Sabonis,Sacramento,Kings,Jonas Valanciunas,23.86791666666667,4.708333333333333,1.7916666666666667,5.638888888888889,11.72902777777778,9,False
Franz Wagner,Orlando,Magic,ga Bitadze,22.919484649122808,6.246527777777779,1.9565972222222223,4.618055555555555,10.098304093567254,18,False
Shai Gilgeous-Alexander,Oklahoma City,Thunder,Ousmane Dieng,22.84288732394366,1.163380281690141,0.022535211267605604,1.0619718309859154,20.595,5,False
Julius Randle,Minnesota,Timberwolves,Naz Reid,22.784803141415715,7.047745358090184,1.3651635720601236,4.392572944297083,9.979321266968324,13,False
Luka Doncic,Dallas,Mavericks,Kessler Edwards,22.66019607843137,4.421052631578948,1.0164473684210527,2.9375,14.28519607843137,38,False
Rudy Gobert,Minnesota,Timberwolves,Terrence Shannon Jr.,22.640915915915915,8.186486486486485,0.8540540540540541,2.5864864864864865,11.01388888888889,10,False
Paul George,Philadelphia,76ers,Lonnie Walker IV,22.523333333333337,9.482142857142858,1.8928571428571428,0.8571428571428572,10.29119047619048,16,False
Brandon Miller,Charlotte,Hornets,KJ Simpson,22.491008333333333,5.253333333333334,2.013333333333333,1.906666666666667,13.317675000000001,30,False
Bilal Coulibaly,Washington,Wizards,Jaylen Martin,22.3917012987013,4.649350649350649,1.4545454545454546,2.1948051948051948,14.093000000000002,11,False
Franz Wagner,Orlando,Magic,Trevelin Queen,22.38768429261657,5.526315789473684,1.555023923444976,1.3413078149920254,13.965036764705882,19,False
Kyrie Irving,Dallas,Mavericks,Brandon Williams,22.282841249543296,8.366459627329192,2.227329192546584,1.7304347826086959,9.958617647058821,23,False
Dejounte Murray,New Orleans,Pelicans,Karlo Matkovic,22.24595305279516,6.48582995951417,0.8407557354925776,3.403508771929825,11.515858585858584,39,False
Giannis Antetokounmpo,Milwaukee,Bucks,Chris Livingston,22.20507792207792,1.9220779220779218,0.23116883116883116,1.1688311688311688,18.883,7,False
Nikola Jokic,Denver,Nuggets,DeAndre Jordan,21.95703823953823,2.958333333333333,0.8674242424242424,4.477272727272727,13.65400793650793,12,False
Rudy Gobert,Minnesota,Timberwolves,Naz Reid,21.901878787878793,5.300000000000001,1.422222222222222,4.51111111111111,10.668545454545459,10,False
Bilal Coulibaly,Washington,Wizards,AJ Johnson,21.85119047619047,7.283333333333333,1.2,2.05,11.31785714285714,15,False
Luka Doncic,Dallas,Mavericks,Spencer Dinwiddie,21.84892234131988,6.970365699873897,3.131778058007566,1.7364438839848675,10.010334699453551,61,False
Cam Thomas,Brooklyn,Nets,Shake Milton,21.563597513597514,6.79020979020979,1.6993006993006992,1.8146853146853146,11.259401709401711,13,False
Julius Randle,Minnesota,Timberwolves,Terrence Shannon Jr.,21.46242951414782,6.794149512459371,1.3542795232936078,2.304442036836403,11.00955844155844,13,False
