STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE,RANK
Andrew Wiggins,Miami,Heat,Terry Rozier,24.23124384236453,8.541871921182267,1.958128078817734,2.4837438423645324,11.247499999999999,58,False,1
Andrew Wiggins,Miami,Heat,Jaime Jaquez Jr.,15.401641255312196,4.041604010025063,1.1684210526315788,1.9734335839598995,8.218182608695654,57,False,2
Andrew Wiggins,Miami,Heat,Nikola Jovic,9.713702553485152,5.110822510822511,1.6562770562770561,1.4424242424242422,1.5041787439613437,55,False,3
Andrew Wiggins,Miami,Heat,Isaiah Stevens,8.20904761904762,0.42857142857142855,0.8571428571428571,0.5,6.423333333333334,14,False,4
Andrew Wiggins,Miami,Heat,Dru Smith,6.758620689655173,3.8620689655172415,1.3103448275862069,1.5862068965517242,,29,False,5
Anthony Davis,Los Angeles,Lakers,Jordan Goodwin,18.834005681818184,4.515151515151516,1.0424242424242425,2.624242424242424,10.6521875,33,False,1
Anthony Davis,Dallas,Mavericks,Dereck Lively II,17.676537324464157,5.496674057649667,1.5166297117516632,4.29490022172949,6.368333333333336,41,False,2
Anthony Davis,Dallas,Mavericks,Olivier-Maxence Prosper,17.44333860342556,3.4927536231884058,0.6666666666666666,1.572463768115942,11.711454545454547,69,False,3
Anthony Davis,Dallas,Mavericks,Kyrie Irving,15.009019607843147,16.59259259259259,1.2222222222222223,3.518518518518518,-6.324313725490185,54,False,4
Anthony Davis,Dallas,Mavericks,Max Christie,12.084981684981688,1.1501831501831514,1.6153846153846154,1.9157509157509156,7.403663003663006,21,False,5
Austin Reaves,Los Angeles,Lakers,Dalton Knecht,16.29902402402402,3.7847222222222214,0.4472222222222223,2.415277777777778,9.651801801801799,9,False,1
Austin Reaves,Los Angeles,Lakers,Bronny James,15.323571428571432,1.7857142857142858,1.1428571428571428,0.5,11.895000000000003,8,False,2
Austin Reaves,Los Angeles,Lakers,Gabe Vincent,10.372638888888892,1.0427350427350426,1.0085470085470085,0.3931623931623931,7.928194444444447,9,False,3
Austin Reaves,Los Angeles,Lakers,Rui Hachimura,7.798282137698605,2.2955223880597018,0.5910447761194031,0.973134328358209,3.9385806451612915,5,False,4
Austin Reaves,Los Angeles,Lakers,Christian Koloko,6.851015328300158,0.42553191489361697,-0.13120567375886524,2.0319148936170213,4.524774193548385,6,False,5
Bilal Coulibaly,Washington,Wizards,Jaylen Martin,22.3917012987013,4.649350649350649,1.4545454545454546,2.1948051948051948,14.093000000000002,11,False,1
Bilal Coulibaly,Washington,Wizards,AJ Johnson,21.85119047619047,7.283333333333333,1.2,2.05,11.31785714285714,15,False,2
Bilal Coulibaly,Washington,Wizards,Justin Champagnie,14.46828098615332,1.7365754812563319,0.37689969604863216,3.066869300911854,9.287936507936504,21,False,3
Bilal Coulibaly,Washington,Wizards,Tristan Vukcevic,8.87483498854087,2.71301247771836,0.035650623885918,0.903743315508021,5.222428571428571,17,False,4
Bilal Coulibaly,Washington,Wizards,Anthony Gill,8.81201467385074,1.4269746646795827,0.10879284649776452,0.9590163934426229,6.317230769230769,22,False,5
Bradley Beal,Phoenix,Suns,Jusuf Nurkic,13.660050505050503,4.988636363636363,0.1287878787878789,4.651515151515151,3.8911111111111083,8,False,1
Bradley Beal,Phoenix,Suns,Josh Okogie,13.614915514592935,4.92741935483871,0.3629032258064516,2.1693548387096775,6.155238095238095,8,False,2
Bradley Beal,Phoenix,Suns,Tyus Jones,9.973587632875295,2.4211822660098523,2.3559113300492607,1.141625615763547,4.054868421052635,28,False,3
Bradley Beal,Phoenix,Suns,Collin Gillespie,8.829516294484336,1.602540834845735,1.0272232304900182,0.22323049001814899,5.976521739130433,19,False,4
Bradley Beal,Phoenix,Suns,TyTy Washington Jr.,8.657575757575756,1.0928571428571427,0.6785714285714286,0.6285714285714286,6.257575757575757,14,False,5
Brandon Ingram,New Orleans,Pelicans,Keion Brooks Jr.,28.22307692307692,7.166666666666667,0.6666666666666666,2.6666666666666665,17.72307692307692,18,False,1
Brandon Ingram,New Orleans,Pelicans,Karlo Matkovic,26.393607932875668,6.615942028985507,0.9782608695652174,3.8478260869565215,14.95157894736842,46,False,2
Brandon Ingram,New Orleans,Pelicans,Trey Murphy III,18.215488770685578,9.792553191489361,2.0124113475177303,2.5638297872340425,3.846694444444445,47,False,3
Brandon Ingram,New Orleans,Pelicans,Elfrid Payton,16.183,2.1875,4.4375,1.0625,8.4955,16,False,4
Brandon Ingram,New Orleans,Pelicans,Antonio Reeves,12.74357966457023,2.979035639412998,0.4381551362683438,0.38888888888888884,8.9375,53,False,5
Brandon Miller,Charlotte,Hornets,Nick Smith Jr.,24.83635516233111,7.250574712643678,1.8268199233716478,1.2000000000000002,14.558960526315785,45,False,1
Brandon Miller,Charlotte,Hornets,KJ Simpson,22.491008333333333,5.253333333333334,2.013333333333333,1.906666666666667,13.317675000000001,30,False,2
Brandon Miller,Charlotte,Hornets,Mark Williams,20.699649818871833,7.717267552182163,0.7666034155597725,5.08349146110057,7.1322873900293295,31,False,3
Brandon Miller,Charlotte,Hornets,Seth Curry,15.361611245896958,4.1498724489795915,0.8303571428571428,1.0146683673469388,9.366713286713285,49,False,4
Brandon Miller,Charlotte,Hornets,Damion Baugh,14.333333333333334,7.266666666666667,3.7333333333333334,3.3333333333333335,,15,False,5
CJ McCollum,New Orleans,Pelicans,Keion Brooks Jr.,30.520000000000003,11.142857142857142,0.6428571428571428,3.8571428571428568,14.87714285714286,7,False,1
CJ McCollum,New Orleans,Pelicans,Brandon Boston Jr.,26.095488060326772,6.316883116883117,3.464935064935065,2.6233766233766236,13.69029325513197,11,False,2
CJ McCollum,New Orleans,Pelicans,Lester Quinones,18.93333333333333,6.19047619047619,2.857142857142857,2.0,7.885714285714284,7,False,3
